ID,Category,Label,Description,Complexity,Tags
notify-success,notifications,Notification Success,Affiche un message de succès,Beginner,"notification,ui,feedback"
notify-error,notifications,Notification Error,Affiche un message d'erreur,Beginner,"notification,ui,error"
notify-warning,notifications,Notification Warning,Affiche un message d'avertissement,Beginner,"notification,ui,warning"
notify-info,notifications,Notification Info,Affiche un message d'information,Beginner,"notification,ui,info"
search-table-basic,crud-data,Rechercher dans une table,Recherche des données avec filtres,Intermediate,"api,search,query,database"
save-row-basic,crud-data,Sauvegarder une ligne,Crée ou met à jour une ligne,Intermediate,"api,save,create,database"
fetch-row-by-id,crud-data,Récupérer une ligne par ID,Récupère une ligne spécifique,Beginner,"api,fetch,read,database"
delete-row,crud-data,Supprimer une ligne,Supprime une ligne de la base,Intermediate,"api,delete,database"
update-row-partial,crud-data,Mettre à jour partiellement,Met à jour certains champs,Advanced,"api,update,database"
create-element-dom,dom-manipulation,Créer un élément HTML,Crée et insère un élément DOM,Intermediate,"dom,create,element"
add-click-listener,dom-manipulation,Ajouter un écouteur de clic,Ajoute un gestionnaire d'événement,Intermediate,"dom,event,click"
toggle-element-visibility,dom-manipulation,Basculer la visibilité,Affiche ou masque un élément,Beginner,"dom,toggle,visibility"
modify-element-style,dom-manipulation,Modifier le style,Change les propriétés CSS,Beginner,"dom,css,style"
console-log-data,utilities,Logger des données,Affiche des informations console,Beginner,"debug,console,log"
set-timeout,utilities,Exécuter après délai,Exécution différée setTimeout,Beginner,"timer,delay,async"
set-interval,utilities,Exécuter périodiquement,Exécution répétée setInterval,Beginner,"timer,interval,async"
conditional-execution,utilities,Exécution conditionnelle,Exécute selon une condition,Beginner,"condition,if,logic"
get-user-info,utilities,Récupérer infos utilisateur,Obtient les données utilisateur,Beginner,"auth,user,info"
example-form-submission,complete-examples,Formulaire avec validation,Formulaire complet validé,Advanced,"form,validation,example"
example-data-table,complete-examples,Tableau de données dynamique,Génère un tableau HTML,Advanced,"table,data,example"
example-dashboard-stats,complete-examples,Dashboard avec statistiques,Calcule et affiche des KPIs,Advanced,"dashboard,stats,example"
